Flow,Month,Trade Value,Country
Imports,2006-10,4949185,Luxembourg
Imports,2006-10,8914137,Malta
Imports,2006-10,176501021,Netherlands
Imports,2006-10,20231278,Poland
Imports,2006-10,27428721,Portugal
Imports,2006-10,9478601,Romania
Imports,2006-10,6797012,Slovakia
Imports,2006-10,4195918,Slovenia
Imports,2006-10,274448342,Spain
Imports,2006-10,106766536,Sweden
Imports,2006-11,43849816,Austria
Imports,2006-11,74341367,Belgium
Imports,2006-11,2867708,Bulgary
Imports,2006-11,521909,Croatia
Imports,2006-11,586533,Cyprus
Imports,2006-11,26432154,Czech_Republic
Imports,2006-11,23664395,Denmark
Imports,2006-11,247987,Estonia
Imports,2006-11,4242124,European_Community
Imports,2006-11,30419451,Finland
Imports,2006-11,228343570,France
Imports,2006-11,695330971,Germany
Imports,2006-11,2073027,Greece
Imports,2006-11,27001611,Hungary
Imports,2006-11,67739723,Ireland
Imports,2006-11,327848774,Italy
Imports,2006-11,71275,Latvia
Imports,2006-11,699506,Lithuania
Imports,2006-11,9244213,Luxembourg
Imports,2006-11,11237901,Malta
Imports,2006-11,88960311,Netherlands
Imports,2006-11,17756392,Poland
Imports,2006-11,21469433,Portugal
Imports,2006-11,4884900,Romania
Imports,2006-11,5516749,Slovakia
Imports,2006-11,4878558,Slovenia
Imports,2006-11,331346390,Spain
Imports,2006-11,114934070,Sweden
Imports,2006-12,59765303,Austria
Imports,2006-12,55076712,Belgium
Imports,2006-12,2777245,Bulgary
Imports,2006-12,502100,Croatia
Imports,2006-12,9712,Cyprus
Imports,2006-12,30796042,Czech_Republic
Imports,2006-12,39069988,Denmark
Imports,2006-12,248490,Estonia
Imports,2006-12,1511173,European_Community
Imports,2006-12,24309637,Finland
Imports,2006-12,227462158,France
Imports,2006-12,579253774,Germany
Imports,2006-12,1550300,Greece
Imports,2006-12,24730841,Hungary
Imports,2006-12,67288459,Ireland
Imports,2006-12,341754722,Italy
Imports,2006-12,32565,Latvia
Imports,2006-12,1309585,Lithuania
Imports,2006-12,6604355,Luxembourg
Imports,2006-12,12072969,Malta
Imports,2006-12,115055812,Netherlands
Imports,2006-12,14050052,Poland
Imports,2006-12,20648383,Portugal
Imports,2006-12,3553794,Romania
Imports,2006-12,5389874,Slovakia
Imports,2006-12,4089916,Slovenia
Imports,2006-12,262909406,Spain
Imports,2006-12,55977218,Sweden
Imports,2007-01,45896424,Austria
Imports,2007-01,43728545,Belgium
Imports,2007-01,2641676,Bulgary
Imports,2007-01,814612,Croatia
Imports,2007-01,3,Cyprus
Imports,2007-01,25313823,Czech_Republic
Imports,2007-01,21227742,Denmark
Imports,2007-01,480467,Estonia
Imports,2007-01,9133052,European_Community
Imports,2007-01,31405218,Finland
Imports,2007-01,229906558,France
Imports,2007-01,682332880,Germany
Imports,2007-01,2362724,Greece
Imports,2007-01,26267859,Hungary
Imports,2007-01,62261678,Ireland
Imports,2007-01,483299287,Italy
Imports,2007-01,167962,Latvia
Imports,2007-01,1447934,Lithuania
Imports,2007-01,6874226,Luxembourg
Imports,2007-01,6086027,Malta
Imports,2007-01,254139660,Netherlands
Imports,2007-01,17393549,Poland
Imports,2007-01,25286223,Portugal
Imports,2007-01,5155907,Romania
Imports,2007-01,4950332,Slovakia
Imports,2007-01,4363714,Slovenia
Imports,2007-01,274711913,Spain
Imports,2007-01,56832881,Sweden
Imports,2007-02,49408926,Austria
Imports,2007-02,43910039,Belgium
Imports,2007-02,1961951,Bulgary
Imports,2007-02,264548,Croatia
Imports,2007-02,251,Cyprus
Imports,2007-02,24451336,Czech_Republic
Imports,2007-02,24040700,Denmark
Imports,2007-02,219566,Estonia
Imports,2007-02,8413672,European_Community
Imports,2007-02,22247887,Finland
Imports,2007-02,212273833,France
Imports,2007-02,718057930,Germany
Imports,2007-02,1640243,Greece
Imports,2007-02,16211699,Hungary
Imports,2007-02,71693394,Ireland
Imports,2007-02,411550139,Italy
Imports,2007-02,19205,Latvia
Imports,2007-02,746271,Lithuania
Imports,2007-02,6472519,Luxembourg
Imports,2007-02,14072571,Malta
Imports,2007-02,124375484,Netherlands
Imports,2007-02,18845233,Poland
Imports,2007-02,26822671,Portugal
Imports,2007-02,3674527,Romania
Imports,2007-02,2356123,Slovakia
Imports,2007-02,3393156,Slovenia
Imports,2007-02,285673324,Spain
Imports,2007-02,82036601,Sweden
Imports,2007-03,48392946,Austria
Imports,2007-03,54997815,Belgium
Imports,2007-03,1638595,Bulgary
Imports,2007-03,475419,Croatia
Imports,2007-03,13536,Cyprus
Imports,2007-03,29090350,Czech_Republic
Imports,2007-03,22850496,Denmark
Imports,2007-03,377639,Estonia
Imports,2007-03,983386,European_Community
Imports,2007-03,36212201,Finland
Imports,2007-03,237313329,France
Imports,2007-03,778102781,Germany
Imports,2007-03,10344834,Greece
Imports,2007-03,26032144,Hungary
Imports,2007-03,78856690,Ireland
Imports,2007-03,396032424,Italy
Imports,2007-03,108203,Latvia
Imports,2007-03,1838930,Lithuania
Imports,2007-03,8543831,Luxembourg
Imports,2007-03,10084132,Malta
Imports,2007-03,88876276,Netherlands
Imports,2007-03,16602033,Poland
Imports,2007-03,25045066,Portugal
Imports,2007-03,5462983,Romania
Imports,2007-03,3996158,Slovakia
Imports,2007-03,4843011,Slovenia
Imports,2007-03,329200350,Spain
Imports,2007-03,67065857,Sweden
Imports,2007-04,46467080,Austria
Imports,2007-04,77403928,Belgium
Imports,2007-04,2576568,Bulgary
Imports,2007-04,3843824,Croatia
Imports,2007-04,1201,Cyprus
Imports,2007-04,22803470,Czech_Republic
Imports,2007-04,24745452,Denmark
Imports,2007-04,309139,Estonia
Imports,2007-04,1555940,European_Community
Imports,2007-04,28708342,Finland
Imports,2007-04,211069966,France
Imports,2007-04,672986649,Germany
Imports,2007-04,33224538,Greece
Imports,2007-04,22156350,Hungary
Imports,2007-04,61848843,Ireland
Imports,2007-04,350831708,Italy
Imports,2007-04,39027,Latvia
Imports,2007-04,1032465,Lithuania
Imports,2007-04,8902895,Luxembourg
Imports,2007-04,6613080,Malta
Imports,2007-04,166908533,Netherlands
Imports,2007-04,12101343,Poland
Imports,2007-04,24852791,Portugal
Imports,2007-04,5082829,Romania
Imports,2007-04,5288244,Slovakia
Imports,2007-04,4446637,Slovenia
Imports,2007-04,283349318,Spain
Imports,2007-04,60051502,Sweden
Imports,2007-05,52156025,Austria
Imports,2007-05,63273256,Belgium
Imports,2007-05,1999687,Bulgary
Imports,2007-05,496071,Croatia
Imports,2007-05,5335,Cyprus
Imports,2007-05,27020394,Czech_Republic
Imports,2007-05,25458093,Denmark
Imports,2007-05,435926,Estonia
Imports,2007-05,1123119,European_Community
Imports,2007-05,46185006,Finland
Imports,2007-05,237606040,France
Imports,2007-05,755773948,Germany
Imports,2007-05,4195055,Greece
Imports,2007-05,19557049,Hungary
Imports,2007-05,86617253,Ireland
Imports,2007-05,546108503,Italy
Imports,2007-05,206925,Latvia
Imports,2007-05,1181505,Lithuania
Imports,2007-05,14602665,Luxembourg
Imports,2007-05,13322908,Malta
Imports,2007-05,122540789,Netherlands
Imports,2007-05,21405619,Poland
Imports,2007-05,25192727,Portugal
Imports,2007-05,4171771,Romania
Imports,2007-05,10255688,Slovakia
Imports,2007-05,4723321,Slovenia
Imports,2007-05,315208598,Spain
Imports,2007-05,78394237,Sweden
Imports,2007-06,48662048,Austria
Imports,2007-06,73593580,Belgium
Imports,2007-06,2220742,Bulgary
Imports,2007-06,721963,Croatia
Imports,2007-06,30181,Cyprus
Imports,2007-06,27892783,Czech_Republic
Imports,2007-06,24322539,Denmark
Imports,2007-06,457635,Estonia
Imports,2007-06,1904338,European_Community
Imports,2007-06,47122752,Finland
Imports,2007-06,303686532,France
Imports,2007-06,703189822,Germany
Imports,2007-06,4466941,Greece
Imports,2007-06,31221330,Hungary
Imports,2007-06,85640238,Ireland
Imports,2007-06,613101091,Italy
Imports,2007-06,88142,Latvia
Imports,2007-06,1114979,Lithuania
Imports,2007-06,12215892,Luxembourg
Imports,2007-06,11250366,Malta
Imports,2007-06,313207409,Netherlands
Imports,2007-06,19219995,Poland
Imports,2007-06,27293006,Portugal
Imports,2007-06,4838665,Romania
Imports,2007-06,6519324,Slovakia
Imports,2007-06,4761902,Slovenia
Imports,2007-06,350923871,Spain
Imports,2007-06,91447943,Sweden
Imports,2007-07,54933031,Austria
Imports,2007-07,56679212,Belgium
Imports,2007-07,8362793,Bulgary
Imports,2007-07,759192,Croatia
Imports,2007-07,145,Cyprus
Imports,2007-07,27475939,Czech_Republic
Imports,2007-07,20978210,Denmark
Imports,2007-07,1751059,Estonia
Imports,2007-07,2552903,European_Community
Imports,2007-07,49315629,Finland
Imports,2007-07,266368731,France
Imports,2007-07,772401758,Germany
Imports,2007-07,3084303,Greece
Imports,2007-07,22668633,Hungary
Imports,2007-07,75500060,Ireland
Imports,2007-07,526932215,Italy
Imports,2007-07,97751,Latvia
Imports,2007-07,1362090,Lithuania
Imports,2007-07,8574135,Luxembourg
Imports,2007-07,7755715,Malta
Imports,2007-07,159448416,Netherlands
Imports,2007-07,14426558,Poland
Imports,2007-07,27860035,Portugal
Imports,2007-07,5547725,Romania
Imports,2007-07,6661908,Slovakia
Imports,2007-07,5688597,Slovenia
Imports,2007-07,333511804,Spain
Imports,2007-07,64233930,Sweden
Imports,2007-08,54685988,Austria
Imports,2007-08,67386218,Belgium
Imports,2007-08,2412218,Bulgary
Imports,2007-08,983153,Croatia
Imports,2007-08,355555,Cyprus
Imports,2007-08,32707556,Czech_Republic
Imports,2007-08,33707899,Denmark
Imports,2007-08,468155,Estonia
Imports,2007-08,2237418,European_Community
Imports,2007-08,56908365,Finland
Imports,2007-08,260646718,France
Imports,2007-08,811493095,Germany
Imports,2007-08,4317256,Greece
Imports,2007-08,23812851,Hungary
Imports,2007-08,89231050,Ireland
Imports,2007-08,476422085,Italy
Imports,2007-08,953797,Latvia
Imports,2007-08,1004205,Lithuania
Imports,2007-08,10591381,Luxembourg
Imports,2007-08,11377283,Malta
Imports,2007-08,229123421,Netherlands
Imports,2007-08,29607598,Poland
Imports,2007-08,28267822,Portugal
Imports,2007-08,4271589,Romania
Imports,2007-08,8722837,Slovakia
Imports,2007-08,6764480,Slovenia
Imports,2007-08,331703736,Spain
Imports,2007-08,62829848,Sweden
Imports,2007-09,52657891,Austria
Imports,2007-09,73749617,Belgium
Imports,2007-09,2541526,Bulgary
Imports,2007-09,959130,Croatia
Imports,2007-09,17387,Cyprus
Imports,2007-09,27126133,Czech_Republic
Imports,2007-09,26277903,Denmark
